combination|similarity
27_LDA_5_True_DBSCAN_0.1_2.csv|0.5
27_LDA_10_True_DBSCAN_0.1_2.csv|0.16666666666666666
27_LDA_20_True_DBSCAN_0.1_2.csv|0.16666666666666666
27_LDA_5_True_DBSCAN_0.2_2.csv|0.3333333333333333
27_LDA_10_True_DBSCAN_0.2_2.csv|0.0
27_LDA_20_True_DBSCAN_0.2_2.csv|0.125
27_LDA_5_True_DBSCAN_0.3_2.csv|0.3333333333333333
27_LDA_10_True_DBSCAN_0.3_2.csv|0.5
27_LDA_20_True_DBSCAN_0.3_2.csv|0.5
27_LDA_5_True_DBSCAN_0.4_2.csv|0.0
27_LDA_10_True_DBSCAN_0.4_2.csv|0.4
27_LDA_20_True_DBSCAN_0.4_2.csv|0.16666666666666666
27_LDA_5_True_DBSCAN_0.5_2.csv|1.0
27_LDA_10_True_DBSCAN_0.5_2.csv|0.2
27_LDA_20_True_DBSCAN_0.5_2.csv|0.2
27_LDA_5_True_DBSCAN_0.6_2.csv|0.0
27_LDA_10_True_DBSCAN_0.6_2.csv|0.75
27_LDA_20_True_DBSCAN_0.6_2.csv|0.375
27_LDA_5_True_DBSCAN_0.7_2.csv|0.3333333333333333
27_LDA_10_True_DBSCAN_0.7_2.csv|0.5
27_LDA_20_True_DBSCAN_0.7_2.csv|0.3333333333333333
27_LDA_5_True_DBSCAN_0.8_2.csv|0.0
27_LDA_10_True_DBSCAN_0.8_2.csv|0.5
27_LDA_20_True_DBSCAN_0.8_2.csv|0.2857142857142857
27_LDA_5_True_DBSCAN_0.9_2.csv|0.2
27_LDA_10_True_DBSCAN_0.9_2.csv|0.5
27_LDA_20_True_DBSCAN_0.9_2.csv|0.375
27_LDA_5_True_DBSCAN_1.0_2.csv|0.3333333333333333
27_LDA_10_True_DBSCAN_1.0_2.csv|0.125
27_LDA_20_True_DBSCAN_1.0_2.csv|0.5
27_LDA_5_True_DBSCAN_1.1_2.csv|0.2
27_LDA_10_True_DBSCAN_1.1_2.csv|0.4
27_LDA_20_True_DBSCAN_1.1_2.csv|0.5
27_LDA_5_True_DBSCAN_1.2_2.csv|0.0
27_LDA_10_True_DBSCAN_1.2_2.csv|0.0
27_LDA_20_True_DBSCAN_1.2_2.csv|0.0
27_LDA_5_True_DBSCAN_1.3_2.csv|0.0
27_LDA_10_True_DBSCAN_1.3_2.csv|0.0
27_LDA_20_True_DBSCAN_1.3_2.csv|0.0
27_LDA_5_True_DBSCAN_1.4_2.csv|0.0
27_LDA_10_True_DBSCAN_1.4_2.csv|0.0
27_LDA_20_True_DBSCAN_1.4_2.csv|0.0
27_LDA_5_True_DBSCAN_1.5_2.csv|0.0
27_LDA_10_True_DBSCAN_1.5_2.csv|0.0
27_LDA_20_True_DBSCAN_1.5_2.csv|0.0
27_LDA_5_True_DBSCAN_1.6_2.csv|0.0
27_LDA_10_True_DBSCAN_1.6_2.csv|0.0
27_LDA_20_True_DBSCAN_1.6_2.csv|0.0
27_LDA_5_True_DBSCAN_1.7_2.csv|0.0
27_LDA_10_True_DBSCAN_1.7_2.csv|0.0
27_LDA_20_True_DBSCAN_1.7_2.csv|0.0
27_LDA_5_True_DBSCAN_1.8_2.csv|0.0
27_LDA_10_True_DBSCAN_1.8_2.csv|0.0
27_LDA_20_True_DBSCAN_1.8_2.csv|0.0
27_LDA_5_True_DBSCAN_1.9_2.csv|0.0
27_LDA_10_True_DBSCAN_1.9_2.csv|0.0
27_LDA_20_True_DBSCAN_1.9_2.csv|0.0
27_LDA_5_True_DBSCAN_2.0_2.csv|0.0
27_LDA_10_True_DBSCAN_2.0_2.csv|0.0
27_LDA_20_True_DBSCAN_2.0_2.csv|0.0
27_LDA_5_True_DBSCAN_0.1_3.csv|0.3333333333333333
27_LDA_10_True_DBSCAN_0.1_3.csv|0.14285714285714285
27_LDA_20_True_DBSCAN_0.1_3.csv|0.375
27_LDA_5_True_DBSCAN_0.2_3.csv|0.4
27_LDA_10_True_DBSCAN_0.2_3.csv|0.375
27_LDA_20_True_DBSCAN_0.2_3.csv|0.375
